index,Year,Country Code,GDP,Population,Urban Population,Ecological Footprint,Biocapacity,Temperature,Precipitation,CO2,CH4,Water Vapor,Aerosol
156,2024,32,606793424786,47096000,92.6,155447660.32863200,294521480.2789870,287.7622228,2.63E-05,0.0004275469262,1.96E-06,16.93938299,0.08384627915
157,2024,76,1968784154830,219182000,88.0,582253885.6225030,1790155782.4495000,296.9180473,5.55E-05,0.0004275472518,1.96E-06,37.47851576,0.1057283205
158,2024,152,294222800414,18981000,88.1,86130587.2612042,63180052.208385400,285.8980757,3.12E-05,0.0004275471872,1.96E-06,13.68819466,0.07423710526
159,2024,156,18392531009467,1436995000,65.5,7025615722.614220,1426849887.8412200,281.5063188,2.5E-05,0.0004275484757,1.96E-06,15.52307603,0.2534745291
160,2024,170,354018674303,51556000,82.7,99692016.23166760,170883504.79516300,299.3469021,9.4E-05,0.0004275474423,1.96E-06,47.99367013,0.1186314717
161,2024,356,3481014268372,1438635000,36.9,1932855903.1905200,629452532.440678,291.6282633,2.45E-05,0.0004275497558,1.96E-06,23.93627246,0.3956582327
162,2024,360,1302970494595,282377000,59.2,540666935.7616390,343818142.55741600,301.3933096,9.03E-05,0.0004275473131,1.96E-06,55.11562648,0.1159490675
163,2024,376,383699885394,9222000,92.9,42399851.74538570,1692098.2770368500,293.8384459,1.3E-05,0.0001780531942,8.15E-07,18.64337502,0.1747529395
164,2024,682,833224434920,36809000,85.2,180338800.54966000,14252626.530548800,299.4061587,5.92E-06,0.000427545037,1.96E-06,17.35268946,0.2476226644
165,2024,710,389877226934,61209000,69.3,234024278.39982100,57838795.79951560,293.8969742,2.67E-05,0.0004275486137,1.96E-06,21.76472748,0.1171371526
166,2024,100,65625154915,6745000,77.0,26361291.55303730,23305674.101701000,284.8901545,3E-05,0.0004275569525,1.96E-06,18.05215297,0.1321373491
167,2024,642,249858926034,19019000,54.9,84049127.46992820,64240629.327107700,283.103675,3.22E-05,0.0004275533647,1.96E-06,17.22394284,0.1230796296
168,2025,36,1720269398940,26857000,86.9,192960417.89012600,293832587.1103770,295.5759853,1.86E-05,0.0004305170303,1.97E-06,23.61693923,0.0931359509
169,2025,40,436729597129,8879000,60.1,58719019.81329280,23208557.15049260,283.4207858,3.38E-05,0.0004305198266,1.97E-06,16.22758632,0.1149167098
170,2025,56,521717792946,11819000,98.3,85505265.04145390,8999730.839805110,284.7523575,3.51E-05,0.0004305229551,1.97E-06,17.45027584,0.1106745995
171,2025,124,1796820091030,39173000,82.1,320460851.7465040,547892865.5790890,272.6671288,2.43E-05,0.0004305167582,1.97E-06,11.03735754,0.06277459126
172,2025,203,237126044351,10613000,74.9,60994375.82516650,26002459.45315880,283.8536676,2.84E-05,0.0004305231344,1.97E-06,16.65476293,0.1113177905
173,2025,208,364498323909,5913000,88.8,41177678.650373300,22602162.8974084,279.5158416,4.89E-05,0.0004305229152,1.97E-06,13.51717102,0.08530098686
174,2025,246,271835118092,5669000,86.0,33563224.3258073,67389106.74335450,275.5738684,2.52E-05,0.0004305241964,1.97E-06,11.37691435,0.08518259054
175,2025,250,2756057663984,66842000,82.3,297220270.3916360,165737920.39264900,285.1386659,3.36E-05,0.0004305197377,1.97E-06,17.08205211,0.107055358
176,2025,276,3815636566004,82455000,78.0,388928436.8349200,128142830.61493400,283.829654,3.45E-05,0.0004305222804,1.97E-06,16.49863838,0.1102526298
177,2025,300,221600259979,10945000,81.3,44401161.796554,13388700.055332800,287.9620836,2.61E-05,0.0004305173175,1.97E-06,17.48684506,0.1457380692
178,2025,348,168999604324,9439000,73.5,36715059.52304480,26387457.960421700,283.1573966,3.14E-05,0.0004305192206,1.97E-06,16.3537275,0.1152171377
